Compte;Date de comptabilisation;Numéro d'extrait;Numéro de transaction;Compte contrepartie;Nom contrepartie contient;Rue et numéro;Code postal et localité;Transaction;Date valeur;Montant;Devise;BIC;Code pays;Communications
BE22 0000 0000 0000;31-03-22;;;BE72 0910 0078 4416;MineCorp SA;Rue de la paie 55;1000 Bruxelles;VERSEMENT VIREMENT URGENT BE72 0910 0078 4416 MineCorp   SA - /A/ 1LE0285-14-0011942                            1LE0285-14-0011942-2208410052734617                    REF. : 0801G3P014725 VAL. 31-03;31-03-22;2637,71;EUR;GKCCBEBB;BE;BBQQ
BE22 0000 0000 0000;31-01-22;2;98;BE72 0910 0078 4416;MineCorp SA;Rue de la paie 55;1000 Bruxelles;VERSEMENT VIREMENT URGENT BE72 0910 0078 4416 MineCorp   SA - /A/ 1LE0285-14-0011942                            1LE0285-14-0011942-2202811090691402                    REF. : 0801H1S007046 VAL. 31-01;31-01-22;2608,45;EUR;GKCCBEBB;BE;BBQQ
BE22 0000 0000 0000;28-02-22;3;153;BE72 0910 0078 4416;MineCorp SA;Rue de la paie 55;1000 Bruxelles;VERSEMENT VIREMENT URGENT BE72 0910 0078 4416 MineCorp   SA - /A/ 1LE0285-14-0011942                            1LE0285-14-0011942-2205610100971566                    REF. : 0801G2P024189 VAL. 28-02;28-02-22;2583,95;EUR;GKCCBEBB;BE;BBQQ
BE22 0000 0000 0000;15-02-22;3;132;BE72 0910 0078 4416;MineCorp SA;Rue de la paie 55;1000 Bruxelles;VERSEMENT VIREMENT URGENT BE72 0910 0078 4416 MineCorp   SA - /A/ 1LE0285-14-0011942                            1LE0285-14-0011942-2204510040001907                    REF. : 0801J2E002568 VAL. 15-02;15-02-22;1695,62;EUR;GKCCBEBB;BE;BBQQ
BE22 0000 0000 0000;15-03-22;;;BE72 0910 0078 4416;MineCorp SA;Rue de la paie 55;1000 Bruxelles;VERSEMENT VIREMENT URGENT BE72 0910 0078 4416 MineCorp   SA - /A/ 1LE0285-14-0011942                            1LE0285-14-0011942-2207010065451051                    REF. : 0801I3B004394 VAL. 15-03;15-03-22;972,25;EUR;GKCCBEBB;BE;BBQQ
BE22 0000 0000 0000;23-03-22;;;BE88 0837 4513 8441;John Cooper;Rue de la greve 48;1000 Bruxelles;VERSEMENT DU BE88 0837 4513 8441 John Cooper       REF. : 090549203M461 VAL. 22-03;22-03-22;800;EUR;GKCCBEBB;BE;
BE22 0000 0000 0000;14-01-22;2;78;BE72 0910 0078 4416;MineCorp SA;Rue de la paie 55;1000 Bruxelles;VERSEMENT VIREMENT URGENT BE72 0910 0078 4416 MineCorp   SA - /A/ 1LE0285-14-0011942                            1LE0285-14-0011942-2201310065685901                    REF. : 0801J1D018294 VAL. 14-01;14-01-22;500;EUR;GKCCBEBB;BE;BBQQ
BE22 0000 0000 0000;23-03-22;;;BE88 0837 4513 8441;John Cooper;Rue de la greve 48;1000 Bruxelles;VERSEMENT DU BE88 0837 4513 8441 John Cooper       REF. : 090546493M504 VAL. 22-03;22-03-22;200;EUR;GKCCBEBB;BE;
BE22 0000 0000 0000;26-01-22;2;87;BE88 0837 4513 8441;John Cooper;Rue de la greve 48;1000 Bruxelles;VERSEMENT DU BE88 0837 4513 8441 John Cooper       REF. : 090544441Q166 VAL. 26-01;26-01-22;200;EUR;GKCCBEBB;BE;
BE22 0000 0000 0000;27-01-22;2;92;BE88 0837 4513 8441;John Cooper;Rue de la greve 48;1000 Bruxelles;VERSEMENT DU BE88 0837 4513 8441 John Cooper       REF. : 090548441R342 VAL. 27-01;27-01-22;110;EUR;GKCCBEBB;BE;
